Year;Country of production;Coffee bean;Department;Municipality of export;Exporter;Exporter group;Importer;Importer group;Country of destination;Economic bloc;Department trase id;Country of production (Trase ID);Country of destination (Trase ID);Trade volume;Trade value
2012;COLOMBIA;ROASTED;ANTIOQUIA;CARTAGENA DE INDIAS;INDUSTRIA COLOMBIANA DE CAFE S A S;INDUSTRIA COLOMBIANA DE CAFE S A S;CORDIALSA USA INC;CORDIALSA USA INC;GUATEMALA;GUATEMALA;CO-05;CO;GT;60,894;85878,72
2012;COLOMBIA;GREEN;RISARALDA;BUENAVENTURA;TERESITA EXPORTADORES DE CAFE S A;TERESITA EXPORTADORES DE CAFE S A;AMERICAN COFFEE;AMERICAN COFFEE;UNITED STATES;UNITED STATES;CO-66;CO;US;288,697;1168662,25
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;BERNHARD ROTHFOS CORP;BERNHARD ROTHFOS CORP;JAPAN;JAPAN;CO-41;CO;JP;57,642;291466,04
2012;COLOMBIA;GREEN;NARINO;CARTAGENA DE INDIAS;EMPRESAS DE NARINO S A S;EMPRESAS DE NARINO S A S;POTTS MC CANLESS AND MC CANLESS;POTTS MC CANLESS AND MC CANLESS;UNITED STATES;UNITED STATES;CO-52;CO;US;156,79;876521,62
2012;COLOMBIA;GREEN;QUINDIO;BUENAVENTURA;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;UNKNOWN;UNKNOWN;GERMANY;EUROPEAN UNION;CO-63;CO;DE;550,711;2454880,16
2012;COLOMBIA;GREEN;QUINDIO;BUENAVENTURA;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;TCHIBO GMBH;TCHIBO GMBH;GERMANY;EUROPEAN UNION;CO-63;CO;DE;125,723;431714,54
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;COFFEE EXPORT Y CIA S EN C C I;COFFEE EXPORT Y CIA S EN C C I;UNKNOWN;UNKNOWN;ALBANIA;ALBANIA;CO-41;CO;AL;19,26;78512,5
2012;COLOMBIA;GREEN;CESAR;CARTAGENA DE INDIAS;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;ROTFHOS CORPORATION;ROTFHOS CORPORATION;UNITED STATES;UNITED STATES;CO-20;CO;US;21,99377011;98308,36834
2012;COLOMBIA;GREEN;RISARALDA;BUENAVENTURA;TERESITA EXPORTADORES DE CAFE S A;TERESITA EXPORTADORES DE CAFE S A;SERENGETI TRADING CO;SERENGETI TRADING CO;UNITED STATES;UNITED STATES;CO-66;CO;US;191,514;834927,74
2012;COLOMBIA;GREEN;TOLIMA;CARTAGENA DE INDIAS;CIA NACIONAL DEL CAFE S A S;CIA NACIONAL DEL CAFE S A S;UNKNOWN;UNKNOWN;GERMANY;EUROPEAN UNION;CO-73;CO;DE;89,93652833;413364,474
